ID,code,annualIncomeRange_TH,annualIncomeRange_EN
1,inc01,ไม่มีรายได้,No income
2,inc02,"ต่ำกว่า 10,000 บาท","Less than 10,000 THB"
3,inc03,"10,001 – 15,000 บาท","10,001 – 15,000 THB"
4,inc04,"15,001 – 30,000 บาท","15,001 – 30,000 THB"
5,inc05,"30,001 – 45,000 บาท","30,001 – 45,000 THB"
6,inc06,"45,001 – 60,000 บาท","45,001 – 60,000 THB"
7,inc07,"60,001 – 75,000 บาท","60,001 – 75,000 THB"
8,inc08,"75,001 – 90,000 บาท","75,001 – 90,000 THB"
9,inc09,"More than 90,000 บาท","More than 90,000 THB"
10,inc10,ไม่ระบุ,Not specified
