ID,code,workUnit_TH,workUnit_EN
1,100000,ผู้ว่าการ,Offices under the Governor
2,110000,สำนักผู้ว่าการ,Office of the Governor
3,110100,กองเลขานุการและวิเทศสัมพันธ์,Secretariat and International Relations Division
4,110101,งานเลขานุการ,Secretarial Work Section
5,110102,งานสนับสนุนวิชาการและประสานงานทั่วไป,Academic Work and General Work Section
6,110103,งานความร่วมมือระหว่างประเทศ,International Cooperation Section
7,110104,งานสื่อสารภายใน,Internal Communications Section
8,110200,กองบริหารความยั่งยืน,Organisational Sustainability Division
9,110201,งานการกำกับดูแลกิจการที่ดี,Corporate Governance Section
10,110202,งานกิจกรรมเพื่อสังคม,Corporate Social Responsibility Section
11,110203,งานนวัตกรรมองค์กร,Corporate Innovation Section
12,120000,ฝ่ายตรวจสอบภายใน,Internal Audit Department
13,120100,กองตรวจสอบส่วนกลาง,Head Office Audit Division
14,120101,งานประชุมคณะกรรมการตรวจสอบ,Auditors' Conference Section
15,120102,งานตรวจสอบการเงิน,Financial Audit Section
16,120103,งานตรวจสอบการดำเนินการและดิจิทัล,Performance and Digital Audit Section
17,120200,กองตรวจสอบสำนักงานสาขา,Branch Offices Audit Division
18,120201,งานตรวจสอบสำนักงานในประเทศ,Domestic Offices Audit Section
19,120202,งานตรวจสอบสำนักงานต่างประเทศ,Overseas Offices Audit Section
20,200000,ด้านบริหาร,Offices under the Deputy Governor for Administration
21,210000,กลุ่มงานอำนวยการด้านบริหาร,Administration Group
22,220000,ฝ่ายบริหารทั่วไป,General Administration Department
23,220100,กองกลาง,General Affairs Division
24,220101,งานสารบรรณและรับส่ง,Document Management and Dispatch Section
25,220102,งานเอกสารภาษาต่างประเทศ,Translation and Correspondence Section
26,220103,งานประชุมคณะกรรมการ,Board of Directors' Conference Section
27,220200,กองกฎหมายและระเบียบ,Legal Affairs and Regulations Division
28,220201,งานปรึกษาด้านกฎหมาย,Legal Affairs Section
29,220202,งานข้อบังคับและระเบียบ,Regulations Section
30,220203,งานกำกับกฎหมายและระเบียบ,Legal and Regulation Compliance Section
31,220300,กองนิติกรรมและคดี,Juristic Acts and Litigation Division
32,220301,งานคดี,Litigation Section
33,220302,งานนิติกรรมสัญญา,Juristic Acts and Contracts Section
34,220303,งานวินัย,Disciplinary Section
35,220400,กองบริหารจัดซื้อจัดจ้าง,Procurement and Supply Management Division
36,220401,งานบริหารพัสดุ,Supply Management Section
37,220402,งานจัดซื้อ,Purchasing Section
38,220403,งานจัดจ้าง,Hiring Section
39,220500,กองอาคารสถานที่,Property Division
